hydro_station_code,meteo_station_code,distance_km,proximity_rank
41137,AJVILJ01,34.86,1
41137,AJPARN01,35.95,2
41137,AJTURI01,38.31,3
41061,AJTART01,38.6,1
41061,AJVORU01,40.75,2
41061,AJJOGE01,72.49,3
41163,AJTIIR01,31.27,1
41163,AJJOHV01,33.16,2
41163,AJNARV01,57.22,3
41080,AJKUND01,33.97,1
41080,AJV-MA01,36.51,2
41080,AJTOOM01,65.5,3
41183,AJPARN01,11.51,1
41183,AJKIHN01,41.48,2
41183,AJVIRT01,49.64,3
41159,AJROOM01,34.63,1
41159,AJHELT01,43.89,2
41159,AJVIRT01,47.83,3
41058,AJTART01,6.04,1
41058,AJVILJ01,52.15,2
41058,AJVALG01,52.74,3
41103,AJHARK01,4.33,1
41103,AJPAKR01,27.57,2
41103,AJKUUS01,46.47,3
41174,AJTURI01,27.93,1
41174,AJVILJ01,31.24,2
41174,AJPARN01,47.3,3
41112,AJNIGU01,27.05,1
41112,AJVIRT01,32.79,2
41112,AJPARN01,48.2,3
41087,AJHARK01,42.21,1
41087,AJKUUS01,54.09,2
41087,AJV-MA01,55.43,3
41107,AJHARK01,13.77,1
41107,AJPAKR01,22.38,2
41107,AJKUUS01,40.77,3
41192,AJVORU01,2.69,1
41192,AJTART01,54.21,2
41192,AJVALG01,57.53,3
41157,AJHARK01,17.38,1
41157,AJPAKR01,48.49,2
41157,AJKUUS01,55.45,3
41116,AJKUUS01,25.76,1
41116,AJNIGU01,37.84,2
41116,AJPARN01,47.68,3
41015,AJVORU01,42.03,1
41015,AJTART01,85.47,2
41015,AJVALG01,100.82,3
41063,AJTIIR01,19.25,1
41063,AJJOGE01,25.64,2
41063,AJTOOM01,38.32,3
41197,AJPARN01,15.31,1
41197,AJKIHN01,43.88,2
41197,AJVILJ01,57.01,3
41154,AJHELT01,19.98,1
41154,AJRIST01,39.14,2
41154,AJVIRT01,53.3,3
41074,AJJOHV01,21.25,1
41074,AJKUND01,31.63,2
41074,AJV-MA01,53.27,3
41200,AJNARV01,19.93,1
41200,AJJOHV01,26.94,2
